district_name,block_name,gp_name,village_name,village_code,village_latitude,village_longitude,total_hhd,TOT_P,TOT_M,TOT_F,P_SC,P_ST,P_LIT,P_ILL,TOT_WORK_P,MAINWORK_P,MARGWORK_P,total_hhd_having_piped_water_connection,total_no_of_community_toilets_constructed,availability_of_phc,availability_of_chc,distance_of_phc,distance_of_chc,total_no_of_schools_primary_sections,total_no_of_schools_middle_sections,availability_of_high_school,availability_of_ssc_school,is_village_connected_to_all_weather_road,distance_of_all_weather_road,availability_of_internal_pucca_road,availablility_hours_of_domestic_electricity,is_broadband_available,no_of_shgs_under_nrlm,total_hhd_mobilized_into_shg,total_no_of_shg_promoted,total_shg_members_engaged_in_income_generation_activities,availability_of_cottage_small_scale_units,total_hhd_engaged_cottage_small_scale_units,piped_water_pct,toilet_per_100hh,sanitation_deficit_raw,sanitation_deficit,has_health_fac,min_health_distance,health_deficit_raw,health_deficit,total_schools,schools_per_1000,education_deficit_raw,education_deficit,service_deficit_index,road_deficit_raw,road_deficit,digital_deficit_raw,digital_deficit,electricity_deficit_raw,electricity_deficit
CHAMPAWAT,BARAKOT,FARTOLA,Gurna (Santola),54186,29.506818,80.115116,54,145,81,64,0,0,114,31,37,20,17,6,0,2,2,2,2,1,0,2,2,1,0,3,4,1,3,18,3,0,2,0,11.11111111,0,0.888888889,0.888888889,1,2,0.15,0.25,5,34.48275862,0.99137931,0.99137931,0.66408046,0,1,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,GALLA GAON,Kalakot,54205,29.434806,80.061645,36,185,95,90,180,0,121,64,71,65,6,0,2,2,2,5,5,0,0,1,2,1,0,3,4,2,0,0,0,0,2,0,0,5.555555556,1,1,1,5,0.6,1,3,16.21621622,0.995945946,0.995945946,0.998783784,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,GALLA GAON,Galla Gaon,54206,29.434872,80.061299,112,381,189,192,0,0,243,138,81,20,61,60,3,2,2,3,3,0,3,1,2,2,5,3,4,2,32,32,0,0,2,0,53.57142857,2.678571429,0.464285714,0.464285714,1,3,0.3,0.5,6,15.7480315,0.996062992,0.996062992,0.638104612,-0.2,0.615384615,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,GUMAID,Gumaud,54198,29.447474,80.082096,185,234,101,133,7,0,140,94,136,19,117,9,0,2,2,4,5,1,0,2,2,1,0,1,4,2,5,32,5,1,2,0,4.864864865,0,0.951351351,0.951351351,1,4,0.45,0.75,5,21.36752137,0.99465812,0.99465812,0.883802841,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,GWEENARA,Gwenada,54196,29.44234,80.103415,103,0,0,0,0,0,0,0,0,0,0,60,0,2,2,4,5,2,1,1,1,2,3,2,4,1,7,36,7,2,2,0,58.25242718,0,0.417475728,0.417475728,1,4,0.45,0.75,5,0,1,1,0.725242718,-0.36,0.307692308,0,1,0.25,0.25
CHAMPAWAT,BARAKOT,GWEENARA,Gairi,54197,29.458758,80.081953,34,142,66,76,28,0,83,59,79,0,79,34,0,2,2,4,5,1,0,2,2,1,0,2,4,2,2,16,2,16,2,0,100,0,0,0,1,4,0.45,0.75,5,35.21126761,0.991197183,0.991197183,0.597359155,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,JHIRKUNI,Gothkura,54166,29.482946,80.016986,1,1,0,1,0,0,1,0,0,0,0,0,0,2,2,5,5,0,0,2,2,2,3,3,4,2,0,0,0,0,2,0,0,0,1,1,1,5,0.6,1,4,4000,0,0,0.7,-0.36,0.307692308,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,JHIRKUNI,Jhir Kuni,54181,29.474028,79.993922,39,103,48,55,0,0,74,29,35,13,22,0,1,2,2,5,5,1,0,2,2,1,0,3,4,2,2,10,0,0,2,0,0,2.564102564,1,1,1,5,0.6,1,5,48.54368932,0.987864078,0.987864078,0.996359223,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,JHIRKUNI,Suri,54182,29.475981,79.996019,33,89,40,49,0,0,56,33,47,7,40,0,1,2,2,5,5,0,0,2,2,1,0,3,4,2,0,0,0,0,2,0,0,3.03030303,1,1,1,5,0.6,1,4,44.94382022,0.988764045,0.988764045,0.996629213,0,1,-1,0,0.25,0.25
CHAMPAWAT,BARAKOT,JHIRKUNI,Nigali Garh,54183,29.475981,79.996019,18,41,20,21,0,0,31,10,15,1,14,0,0,2,2,5,5,0,0,2,2,2,3,3,4,2,0,0,0,0,2,0,0,0,1,1,1,5,0.6,1,4,97.56097561,0.975609756,0.975609756,0.992682927,-0.36,0.307692308,-1,0,0.25,0.25
